 U1_fascism:0 "Alabama Reich"
 U1_fascism_DEF:0 "the Alabama Reich"
 U1_democratic:0 "Alabama Republic"
 U1_democratic:0 "the Alabama Republic"
 U1_neutrality:1 "Alabama Empire"
 U1_neutrality_DEF:1 "the Alabama Empire"
 U1_communism:0 "Socialist Republic of Alabama"
 U1_communism_DEF:0 "the Socialist Republic of Alabama"
 U1_fascism_ADJ:0 "Alabama"
 U1_democratic_ADJ:0 "Alabama"
 U1_neutrality_ADJ:0 "Alabama"
 U1_communism_ADJ:0 "Alabama"
 U1:0 "Alabama"
 U1_DEF:0 "Alabama"
 U1_ADJ:0 "Alabama"
 U2_fascism:0 "Alaska Reich"
 U2_fascism_DEF:0 "the Alaska Reich"
 U2_democratic:0 "Alaska Republic"
 U2_democratic:0 "the Alaska Republic"
 U2_neutrality:1 "Alaska Empire"
 U2_neutrality_DEF:1 "the Alaska Empire"
 U2_communism:0 "Socialist Republic of Alaska"
 U2_communism_DEF:0 "the Socialist Republic of Alaska"
 U2_fascism_ADJ:0 "Alaska"
 U2_democratic_ADJ:0 "Alaska"
 U2_neutrality_ADJ:0 "Alaska"
 U2_communism_ADJ:0 "Alaska"
 U2:0 "Alaska"
 U2_DEF:0 "Alaska"
 U2_ADJ:0 "Alaska"
 U3_fascism:0 "Arizona Reich"
 U3_fascism_DEF:0 "the Arizona Reich"
 U3_democratic:0 "Arizona Republic"
 U3_democratic:0 "the Arizona Republic"
 U3_neutrality:1 "Arizona Empire"
 U3_neutrality_DEF:1 "the Arizona Empire"
 U3_communism:0 "Socialist Republic of Arizona"
 U3_communism_DEF:0 "the Socialist Republic of Arizona"
 U3_fascism_ADJ:0 "Arizona"
 U3_democratic_ADJ:0 "Arizona"
 U3_neutrality_ADJ:0 "Arizona"
 U3_communism_ADJ:0 "Arizona"
 U3:0 "Arizona"
 U3_DEF:0 "Arizona"
 U3_ADJ:0 "Arizona"
 U4_fascism:0 "Arkansas Reich"
 U4_fascism_DEF:0 "the Arkansas Reich"
 U4_democratic:0 "Arkansas Republic"
 U4_democratic:0 "the Arkansas Republic"
 U4_neutrality:1 "Arkansas Empire"
 U4_neutrality_DEF:1 "the Arkansas Empire"
 U4_communism:0 "Socialist Republic of Arkansas"
 U4_communism_DEF:0 "the Socialist Republic of Arkansas"
 U4_fascism_ADJ:0 "Arkansas"
 U4_democratic_ADJ:0 "Arkansas"
 U4_neutrality_ADJ:0 "Arkansas"
 U4_communism_ADJ:0 "Arkansas"
 U4:0 "Arkansas"
 U4_DEF:0 "Arkansas"
 U4_ADJ:0 "Arkansas"
 U5_fascism:0 "California Reich"
 U5_fascism_DEF:0 "the California Reich"
 U5_democratic:0 "California Republic"
 U5_democratic:0 "the California Republic"
 U5_neutrality:1 "California Empire"
 U5_neutrality_DEF:1 "the California Empire"
 U5_communism:0 "Socialist Republic of California"
 U5_communism_DEF:0 "the Socialist Republic of California"
 U5_fascism_ADJ:0 "California"
 U5_democratic_ADJ:0 "California"
 U5_neutrality_ADJ:0 "California"
 U5_communism_ADJ:0 "California"
 U5:0 "California"
 U5_DEF:0 "California"
 U5_ADJ:0 "California"
 U6_fascism:0 "Colorado Reich"
 U6_fascism_DEF:0 "the Colorado Reich"
 U6_democratic:0 "Colorado Republic"
 U6_democratic:0 "the Colorado Republic"
 U6_neutrality:1 "Colorado Empire"
 U6_neutrality_DEF:1 "the Colorado Empire"
 U6_communism:0 "Socialist Republic of Colorado"
 U6_communism_DEF:0 "the Socialist Republic of Colorado"
 U6_fascism_ADJ:0 "Colorado"
 U6_democratic_ADJ:0 "Colorado"
 U6_neutrality_ADJ:0 "Colorado"
 U6_communism_ADJ:0 "Colorado"
 U6:0 "Colorado"
 U6_DEF:0 "Colorado"
 U6_ADJ:0 "Colorado"
 U7_fascism:0 "Connecticut Reich"
 U7_fascism_DEF:0 "the Connecticut Reich"
 U7_democratic:0 "Connecticut Republic"
 U7_democratic:0 "the Connecticut Republic"
 U7_neutrality:1 "Connecticut Empire"
 U7_neutrality_DEF:1 "the Connecticut Empire"
 U7_communism:0 "Socialist Republic of Connecticut"
 U7_communism_DEF:0 "the Socialist Republic of Connecticut"
 U7_fascism_ADJ:0 "Connecticut"
 U7_democratic_ADJ:0 "Connecticut"
 U7_neutrality_ADJ:0 "Connecticut"
 U7_communism_ADJ:0 "Connecticut"
 U7:0 "Connecticut"
 U7_DEF:0 "Connecticut"
 U7_ADJ:0 "Connecticut"
 U8_fascism:0 "Delaware Reich"
 U8_fascism_DEF:0 "the Delaware Reich"
 U8_democratic:0 "Delaware Republic"
 U8_democratic:0 "the Delaware Republic"
 U8_neutrality:1 "Delaware Empire"
 U8_neutrality_DEF:1 "the Delaware Empire"
 U8_communism:0 "Socialist Republic of Delaware"
 U8_communism_DEF:0 "the Socialist Republic of Delaware"
 U8_fascism_ADJ:0 "Delaware"
 U8_democratic_ADJ:0 "Delaware"
 U8_neutrality_ADJ:0 "Delaware"
 U8_communism_ADJ:0 "Delaware"
 U8:0 "Delaware"
 U8_DEF:0 "Delaware"
 U8_ADJ:0 "Delaware"
 U9_fascism:0 "Florida Reich"
 U9_fascism_DEF:0 "the Florida Reich"
 U9_democratic:0 "Florida Republic"
 U9_democratic:0 "the Florida Republic"
 U9_neutrality:1 "Florida Empire"
 U9_neutrality_DEF:1 "the Florida Empire"
 U9_communism:0 "Socialist Republic of Florida"
 U9_communism_DEF:0 "the Socialist Republic of Florida"
 U9_fascism_ADJ:0 "Florida"
 U9_democratic_ADJ:0 "Florida"
 U9_neutrality_ADJ:0 "Florida"
 U9_communism_ADJ:0 "Florida"
 U9:0 "Florida"
 U9_DEF:0 "Florida"
 U9_ADJ:0 "Florida"
 U10_fascism:0 "Georgia Reich"
 U10_fascism_DEF:0 "the Georgia Reich"
 U10_democratic:0 "Georgia Republic"
 U10_democratic:0 "the Georgia Republic"
 U10_neutrality:1 "Georgia Empire"
 U10_neutrality_DEF:1 "the Georgia Empire"
 U10_communism:0 "Socialist Republic of Georgia"
 U10_communism_DEF:0 "the Socialist Republic of Georgia"
 U10_fascism_ADJ:0 "Georgia"
 U10_democratic_ADJ:0 "Georgia"
 U10_neutrality_ADJ:0 "Georgia"
 U10_communism_ADJ:0 "Georgia"
 U10:0 "Georgia"
 U10_DEF:0 "Georgia"
 U10_ADJ:0 "Georgia"
 U11_fascism:0 "Hawaii Reich"
 U11_fascism_DEF:0 "the Hawaii Reich"
 U11_democratic:0 "Hawaii Republic"
 U11_democratic:0 "the Hawaii Republic"
 U11_neutrality:1 "Hawaii Empire"
 U11_neutrality_DEF:1 "the Hawaii Empire"
 U11_communism:0 "Socialist Republic of Hawaii"
 U11_communism_DEF:0 "the Socialist Republic of Hawaii"
 U11_fascism_ADJ:0 "Hawaii"
 U11_democratic_ADJ:0 "Hawaii"
 U11_neutrality_ADJ:0 "Hawaii"
 U11_communism_ADJ:0 "Hawaii"
 U11:0 "Hawaii"
 U11_DEF:0 "Hawaii"
 U11_ADJ:0 "Hawaii"
 U12_fascism:0 "Idaho Reich"
 U12_fascism_DEF:0 "the Idaho Reich"
 U12_democratic:0 "Idaho Republic"
 U12_democratic:0 "the Idaho Republic"
 U12_neutrality:1 "Idaho Empire"
 U12_neutrality_DEF:1 "the Idaho Empire"
 U12_communism:0 "Socialist Republic of Idaho"
 U12_communism_DEF:0 "the Socialist Republic of Idaho"
 U12_fascism_ADJ:0 "Idaho"
 U12_democratic_ADJ:0 "Idaho"
 U12_neutrality_ADJ:0 "Idaho"
 U12_communism_ADJ:0 "Idaho"
 U12:0 "Idaho"
